Conta: 103166893
Titular: Wesley Gomes Da Silva
Data Inicial: 02/03/2025
Data Final: 02/03/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WINJ26;21/11/2025 09:00:00;24/11/2025 11:30:00;3d2h;1;1;C;161.865,00;163.600,00;192.305,00;Não;347,00;1.735,00;1;347,00;1.735,00;0,00;0,00;0,00; - ;347,00
WINJ26;28/11/2025 15:00:00;01/12/2025 10:30:00;2d19h;1;1;V;165.625,00;167.000,00;192.305,00;Não;275,00;1.375,00;2;275,00;1.375,00;0,00;0,00;0,00;7d6h;622,00
WINJ26;01/12/2025 11:00:00;02/12/2025 09:30:00;22h30min;1;1;C;165.945,00;166.840,00;192.305,00;Não;179,00;895,00;3;179,00;895,00;0,00;0,00;0,00;2d20h;801,00
WINJ26;05/12/2025 09:00:00;05/12/2025 13:00:00;4h;1;1;V;170.835,00;171.890,00;192.305,00;Sim;211,00;1.055,00;4;211,00;1.055,00;0,00;0,00;0,00;3d22h;1.012,00
WINJ26;18/12/2025 11:00:00;19/12/2025 18:00:00;1d7h;1;1;V;164.745,00;163.735,00;192.305,00;Não;-202,00;-1.010,00;5;-202,00;-1.010,00;0,00;0,00;0,00;13d2h;810,00
WINJ26;23/12/2025 11:30:00;26/12/2025 09:30:00;2d22h;1;1;V;165.790,00;165.435,00;192.305,00;Sim;-71,00;-355,00;6;-71,00;-355,00;0,00;0,00;0,00;5d;739,00
WINJ26;29/12/2025 09:30:00;29/12/2025 11:00:00;1h30min;1;1;V;166.510,00;167.005,00;192.305,00;Sim;99,00;495,00;7;99,00;495,00;0,00;0,00;0,00;5d22h;838,00
WINJ26;02/01/2026 12:00:00;05/01/2026 09:30:00;2d21h;1;1;C;166.845,00;166.655,00;192.305,00;Não;-38,00;-190,00;8;-38,00;-190,00;0,00;0,00;0,00;4d2h;800,00
WINJ26;06/01/2026 11:00:00;07/01/2026 10:00:00;23h;1;1;V;168.900,00;169.355,00;192.305,00;Sim;91,00;455,00;9;91,00;455,00;0,00;0,00;0,00;3d23h;891,00
WINJ26;08/01/2026 12:00:00;09/01/2026 18:00:00;1d6h;1;1;V;168.675,00;167.765,00;192.305,00;Não;-182,00;-910,00;10;-182,00;-910,00;0,00;0,00;0,00;2d1h;709,00
WINJ26;12/01/2026 11:30:00;14/01/2026 09:30:00;1d22h;1;1;C;168.150,00;167.920,00;192.305,00;Não;-46,00;-230,00;11;-46,00;-230,00;0,00;0,00;0,00;3d23h;663,00
WINJ26;15/01/2026 09:30:00;16/01/2026 11:00:00;1d1h;1;1;V;170.060,00;170.390,00;192.305,00;Sim;66,00;330,00;12;66,00;330,00;0,00;0,00;0,00;2d22h;729,00
WINJ26;26/01/2026 09:30:00;29/01/2026 12:30:00;3d3h;1;1;V;188.090,00;185.365,00;192.305,00;Sim;-545,00;-2.725,00;13;-545,00;-2.725,00;0,00;0,00;0,00;11d;184,00
WINJ26;04/02/2026 15:30:00;05/02/2026 11:00:00;19h30min;1;1;C;185.485,00;186.980,00;192.305,00;Não;299,00;1.495,00;14;299,00;1.495,00;0,00;0,00;0,00;9d6h;483,00
WINJ26;18/02/2026 13:30:00;18/02/2026 15:30:00;2h;1;1;V;189.720,00;190.075,00;192.305,00;Sim;71,00;355,00;15;71,00;355,00;0,00;0,00;0,00;13d22h;554,00
WINJ26;18/02/2026 17:00:00;19/02/2026 09:00:00;16h;1;1;C;189.070,00;190.465,00;192.305,00;Não;279,00;1.395,00;16;279,00;1.395,00;0,00;0,00;0,00;3h30min;833,00
WINJ26;19/02/2026 11:00:00;20/02/2026 09:30:00;22h30min;1;1;V;191.020,00;190.235,00;192.305,00;Sim;-157,00;-785,00;17;-157,00;-785,00;0,00;0,00;0,00;18h;676,00
WINJ26;26/02/2026 11:00:00;26/02/2026 17:00:00;6h;1;1;C;194.240,00;194.145,00;192.305,00;Não;-19,00;-95,00;18;-19,00;-95,00;0,00;0,00;0,00;7d;657,00
WINJ26;27/02/2026 09:30:00;02/03/2026 15:00:00;3d5h;1;1;C;193.430,00;192.040,00;192.305,00;Sim;-278,00;-1.390,00;19;-278,00;-1.390,00;0,00;0,00;0,00;22h30min;379,00
