Conta: 103166893
Titular: Wesley Gomes Da Silva
Data Inicial: 02/03/2025
Data Final: 02/03/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WINJ26;19/12/2025 15:38:00;19/12/2025 15:52:00;14min;1;1;C;165.010,00;165.100,00;192.290,00;Não;18,00;90,00;1;18,00;90,00;0,00;0,00;0,00; - ;18,00
WINJ26;19/12/2025 17:46:00;19/12/2025 18:08:00;22min;1;1;C;164.655,00;164.855,00;192.290,00;Sim;40,00;200,00;2;40,00;200,00;0,00;0,00;0,00;2h8min;58,00
WINJ26;22/12/2025 09:56:00;22/12/2025 11:02:00;1h6min;1;1;C;164.710,00;164.430,00;192.290,00;Não;-56,00;-280,00;3;-56,00;-280,00;0,00;0,00;0,00;2d16h;2,00
WINJ26;22/12/2025 11:42:00;22/12/2025 12:08:00;26min;1;1;C;163.535,00;163.920,00;192.290,00;Sim;77,00;385,00;4;77,00;385,00;0,00;0,00;0,00;1h46min;79,00
WINJ26;22/12/2025 15:08:00;22/12/2025 15:36:00;28min;1;1;C;164.280,00;164.255,00;192.290,00;Não;-5,00;-25,00;5;-5,00;-25,00;0,00;0,00;0,00;3h26min;74,00
WINJ26;22/12/2025 16:12:00;22/12/2025 16:14:00;2min;1;1;C;164.385,00;164.365,00;192.290,00;Não;-4,00;-20,00;6;-4,00;-20,00;0,00;0,00;0,00;1h4min;70,00
WINJ26;23/12/2025 09:02:00;23/12/2025 10:02:00;1h;1;1;V;164.950,00;164.440,00;192.290,00;Não;-102,00;-510,00;7;-102,00;-510,00;0,00;0,00;0,00;16h50min;-32,00
WINJ26;23/12/2025 10:20:00;23/12/2025 10:36:00;16min;1;1;V;165.255,00;165.715,00;192.290,00;Sim;92,00;460,00;8;92,00;460,00;0,00;0,00;0,00;1h18min;60,00
WINJ26;23/12/2025 12:28:00;23/12/2025 12:46:00;18min;1;1;V;166.300,00;166.525,00;192.290,00;Sim;45,00;225,00;9;45,00;225,00;0,00;0,00;0,00;2h8min;105,00
WINJ26;23/12/2025 18:08:00;23/12/2025 18:20:00;12min;1;1;V;166.530,00;166.745,00;192.290,00;Sim;43,00;215,00;10;43,00;215,00;0,00;0,00;0,00;5h40min;148,00
