Conta: 103166893
Titular: Wesley Gomes Da Silva
Data Inicial: 02/03/2025
Data Final: 02/03/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WINJ26;21/10/2025 12:15:00;21/10/2025 13:55:00;1h40min;1;1;V;152.500,00;153.100,00;192.275,00;Não;120,00;600,00;1;120,00;600,00;0,00;0,00;0,00; - ;120,00
WINJ26;05/11/2025 10:50:00;06/11/2025 15:25:00;1d4h;1;1;V;161.800,00;159.620,00;192.275,00;Sim;-436,00;-2.180,00;2;-436,00;-2.180,00;0,00;0,00;0,00;14d22h;-316,00
WINJ26;13/11/2025 09:05:00;13/11/2025 14:05:00;5h;1;1;V;165.640,00;166.000,00;192.275,00;Sim;72,00;360,00;3;72,00;360,00;0,00;0,00;0,00;7d22h;-244,00
WINJ26;19/11/2025 18:20:00;21/11/2025 14:35:00;1d20h;1;1;C;163.200,00;162.635,00;192.275,00;Não;-113,00;-565,00;4;-113,00;-565,00;0,00;0,00;0,00;6d9h;-357,00
WINJ26;28/11/2025 14:05:00;28/11/2025 18:15:00;4h10min;1;1;V;166.770,00;166.900,00;192.275,00;Sim;26,00;130,00;5;26,00;130,00;0,00;0,00;0,00;8d19h;-331,00
WINJ26;17/12/2025 17:40:00;17/12/2025 18:00:00;20min;1;1;V;163.850,00;163.870,00;192.275,00;Não;4,00;20,00;6;4,00;20,00;0,00;0,00;0,00;19d3h;-327,00
WINJ26;18/12/2025 09:50:00;18/12/2025 10:20:00;30min;1;1;C;163.385,00;163.945,00;192.275,00;Não;112,00;560,00;7;112,00;560,00;0,00;0,00;0,00;16h10min;-215,00
WINJ26;18/12/2025 13:00:00;18/12/2025 14:10:00;1h10min;1;1;V;164.585,00;164.805,00;192.275,00;Sim;44,00;220,00;8;44,00;220,00;0,00;0,00;0,00;3h10min;-171,00
WINJ26;18/12/2025 16:50:00;18/12/2025 17:40:00;50min;1;1;C;164.320,00;164.555,00;192.275,00;Não;47,00;235,00;9;47,00;235,00;0,00;0,00;0,00;3h50min;-124,00
WINJ26;18/12/2025 17:50:00;19/12/2025 09:25:00;15h35min;1;1;V;164.540,00;164.670,00;192.275,00;Não;26,00;130,00;10;26,00;130,00;0,00;0,00;0,00;1h;-98,00
WINJ26;19/12/2025 12:50:00;19/12/2025 13:10:00;20min;1;1;C;165.550,00;165.605,00;192.275,00;Não;11,00;55,00;11;11,00;55,00;0,00;0,00;0,00;19h;-87,00
WINJ26;19/12/2025 14:50:00;22/12/2025 09:00:00;2d18h;1;1;C;165.180,00;165.430,00;192.275,00;Sim;50,00;250,00;12;50,00;250,00;0,00;0,00;0,00;2h;-37,00
WINJ26;22/12/2025 13:00:00;22/12/2025 15:10:00;2h10min;1;1;V;164.205,00;164.135,00;192.275,00;Não;-14,00;-70,00;13;-14,00;-70,00;0,00;0,00;0,00;2d22h;-51,00
WINJ26;22/12/2025 17:25:00;22/12/2025 17:35:00;10min;1;1;V;164.255,00;164.405,00;192.275,00;Sim;30,00;150,00;14;30,00;150,00;0,00;0,00;0,00;4h25min;-21,00
WINJ26;23/12/2025 11:50:00;23/12/2025 15:10:00;3h20min;1;1;V;166.310,00;165.910,00;192.275,00;Sim;-80,00;-400,00;15;-80,00;-400,00;0,00;0,00;0,00;18h25min;-101,00
WINJ26;23/12/2025 18:10:00;26/12/2025 09:05:00;2d14h;1;1;V;165.720,00;166.705,00;192.275,00;Sim;197,00;985,00;16;197,00;985,00;0,00;0,00;0,00;6h20min;96,00
WINJ26;26/12/2025 13:30:00;26/12/2025 14:10:00;40min;1;1;C;166.195,00;166.465,00;192.275,00;Não;54,00;270,00;17;54,00;270,00;0,00;0,00;0,00;2d19h;150,00
WINJ26;26/12/2025 14:45:00;29/12/2025 09:30:00;2d18h;1;1;V;167.005,00;166.490,00;192.275,00;Não;-103,00;-515,00;18;-103,00;-515,00;0,00;0,00;0,00;1h15min;47,00
WINJ26;29/12/2025 11:50:00;29/12/2025 11:55:00;5min;1;1;V;166.395,00;166.545,00;192.275,00;Sim;30,00;150,00;19;30,00;150,00;0,00;0,00;0,00;2d21h;77,00
WINJ26;29/12/2025 12:15:00;29/12/2025 14:25:00;2h10min;1;1;C;166.185,00;166.105,00;192.275,00;Sim;-16,00;-80,00;20;-16,00;-80,00;0,00;0,00;0,00;25min;61,00
WINJ26;29/12/2025 17:00:00;29/12/2025 17:45:00;45min;1;1;V;166.070,00;166.175,00;192.275,00;Não;21,00;105,00;21;21,00;105,00;0,00;0,00;0,00;4h45min;82,00
WINJ26;30/12/2025 09:25:00;30/12/2025 10:50:00;1h25min;1;1;V;167.335,00;167.545,00;192.275,00;Sim;42,00;210,00;22;42,00;210,00;0,00;0,00;0,00;16h25min;124,00
WINJ26;30/12/2025 13:15:00;30/12/2025 15:20:00;2h5min;1;1;V;167.735,00;167.660,00;192.275,00;Sim;-15,00;-75,00;23;-15,00;-75,00;0,00;0,00;0,00;3h50min;109,00
