Conta: 103166893
Titular: Wesley Gomes Da Silva
Data Inicial: 02/03/2025
Data Final: 02/03/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);Drawdown;Ganho Max.;Perda Max.;TET;Total
WINJ26;20/10/2025 12:00:00;21/10/2025 09:30:00;21h30min;1;1;V;153.200,00;153.725,00;192.185,00;Não;105,00;525,00;1;105,00;525,00;0,00;0,00;0,00; - ;105,00
WINJ26;23/10/2025 09:30:00;23/10/2025 12:30:00;3h;1;1;V;153.950,00;154.700,00;192.185,00;Sim;150,00;750,00;2;150,00;750,00;0,00;0,00;0,00;2d21h;255,00
WINJ26;05/11/2025 18:00:00;07/11/2025 09:30:00;1d15h;1;1;V;161.700,00;161.940,00;192.185,00;Sim;48,00;240,00;3;48,00;240,00;0,00;0,00;0,00;13d8h;303,00
WINJ26;05/12/2025 09:00:00;05/12/2025 11:00:00;2h;1;1;V;171.690,00;171.890,00;192.185,00;Sim;40,00;200,00;4;40,00;200,00;0,00;0,00;0,00;1m1d15h;343,00
WINJ26;09/12/2025 11:00:00;09/12/2025 13:00:00;2h;1;1;C;163.150,00;164.830,00;192.185,00;Não;336,00;1.680,00;5;336,00;1.680,00;0,00;0,00;0,00;4d2h;679,00
WINJ26;16/12/2025 13:00:00;16/12/2025 15:00:00;2h;1;1;C;166.450,00;166.655,00;192.185,00;Não;41,00;205,00;6;41,00;205,00;0,00;0,00;0,00;7d2h;720,00
WINJ26;17/12/2025 11:00:00;17/12/2025 16:30:00;5h30min;1;1;C;163.230,00;163.670,00;192.185,00;Sim;88,00;440,00;7;88,00;440,00;0,00;0,00;0,00;22h;808,00
WINJ26;23/12/2025 13:30:00;26/12/2025 09:30:00;2d20h;1;1;V;165.790,00;166.345,00;192.185,00;Não;111,00;555,00;8;111,00;555,00;0,00;0,00;0,00;6d2h;919,00
WINJ26;06/01/2026 11:00:00;06/01/2026 13:30:00;2h30min;1;1;V;169.405,00;169.355,00;192.185,00;Sim;-10,00;-50,00;9;-10,00;-50,00;0,00;0,00;0,00;13d21h;909,00
WINJ26;06/01/2026 14:00:00;07/01/2026 10:00:00;20h;1;1;V;168.900,00;169.505,00;192.185,00;Sim;121,00;605,00;10;121,00;605,00;0,00;0,00;0,00;3h;1.030,00
WINJ26;13/01/2026 13:30:00;13/01/2026 16:00:00;2h30min;1;1;C;167.085,00;167.235,00;192.185,00;Não;30,00;150,00;11;30,00;150,00;0,00;0,00;0,00;6d23h;1.060,00
WINJ26;15/01/2026 09:30:00;15/01/2026 11:30:00;2h;1;1;V;170.290,00;170.390,00;192.185,00;Sim;20,00;100,00;12;20,00;100,00;0,00;0,00;0,00;1d20h;1.080,00
WINJ26;21/01/2026 11:30:00;21/01/2026 17:00:00;5h30min;1;1;V;176.665,00;173.915,00;192.185,00;Sim;-550,00;-2.750,00;13;-550,00;-2.750,00;0,00;0,00;0,00;6d2h;530,00
WINJ26;22/01/2026 13:00:00;22/01/2026 16:30:00;3h30min;1;1;V;181.150,00;182.045,00;192.185,00;Sim;179,00;895,00;14;179,00;895,00;0,00;0,00;0,00;1d1h;709,00
WINJ26;23/01/2026 17:00:00;26/01/2026 09:00:00;2d16h;1;1;V;184.620,00;183.165,00;192.185,00;Sim;-291,00;-1.455,00;15;-291,00;-1.455,00;0,00;0,00;0,00;1d4h;418,00
WINJ26;26/01/2026 09:30:00;26/01/2026 11:00:00;1h30min;1;1;V;183.135,00;185.365,00;192.185,00;Sim;446,00;2.230,00;16;446,00;2.230,00;0,00;0,00;0,00;2d16h;864,00
WINJ26;27/01/2026 10:30:00;27/01/2026 15:30:00;5h;1;1;V;187.300,00;185.905,00;192.185,00;Sim;-279,00;-1.395,00;17;-279,00;-1.395,00;0,00;0,00;0,00;1d1h;585,00
